TF,Cell
EP300,"""CD8 TEM_2"""
NR3C1,"""CD8 TEM_2"""
RXRA,"""CD8 TEM_2"""
KLF5,"""CD8 TEM_2"""
HES2,"""CD8 TEM_2"""
INTS11,"""CD8 TEM_2"""
JARID2,"""CD8 TEM_2"""
ESR1,"""CD8 TEM_2"""
KLF15,"""CD8 TEM_2"""
EZH2,"""CD8 TEM_2"""
ERG,"""CD8 TEM_2"""
FOSL2,"""CD8 TEM_2"""
CNOT3,"""CD8 TEM_2"""
SUZ12,"""CD8 TEM_2"""
KLF4,"""CD8 TEM_2"""
CREBBP,"""CD8 TEM_2"""
ZNF100,"""CD8 TEM_2"""
KDM2B,"""CD8 TEM_2"""
ZEB1,"""CD8 TEM_2"""
TRAF7,"""CD8 TEM_2"""
RARG,"""CD8 TEM_2"""
ZMYND8,"""CD8 TEM_2"""
TCF21,"""CD8 TEM_2"""
PROX1,"""CD8 TEM_2"""
ZNF282,"""CD8 TEM_2"""
SP1,"""CD8 TEM_2"""
NR2F2,"""CD8 TEM_2"""
GLI2,"""CD8 TEM_2"""
ZNF519,"""CD8 TEM_2"""
SMARCB1,"""CD8 TEM_2"""
KLF11,"""CD8 TEM_2"""
GRHL3,"""CD8 TEM_2"""
TFAP2A,"""CD8 TEM_2"""
CEBPB,"""CD8 TEM_2"""
KLF9,"""CD8 TEM_2"""
PATZ1,"""CD8 TEM_2"""
EGR2,"""CD8 TEM_2"""
ZNF618,"""CD8 TEM_2"""
KDM4A,"""CD8 TEM_2"""
ZFX,"""CD8 TEM_2"""
ZNF468,"""CD8 TEM_2"""
PCGF1,"""CD8 TEM_2"""
NR0B1,"""CD8 TEM_2"""
TFAP2C,"""CD8 TEM_2"""
MED1,"""CD8 TEM_2"""
AFF1,"""CD8 TEM_2"""
RYBP,"""CD8 TEM_2"""
ZBTB48,"""CD8 TEM_2"""
TET3,"""CD8 TEM_2"""
PPARG,"""CD8 TEM_2"""
TAZ,"""CD8 TEM_2"""
ZNF483,"""CD8 TEM_2"""
MYH11,"""CD8 TEM_2"""
GLIS2,"""CD8 TEM_2"""
SNAI2,"""CD8 TEM_2"""
CD74,"""CD8 TEM_2"""
SPI1,"""CD8 TEM_2"""
MBD3,"""CD8 TEM_2"""
STAT3,"""CD8 TEM_2"""
TET2,"""CD8 TEM_2"""
NCAPH2,"""CD8 TEM_2"""
GRIP1,"""CD8 TEM_2"""
ETV4,"""CD8 TEM_2"""
ZNF273,"""CD8 TEM_2"""
CHD4,"""CD8 TEM_2"""
MBD2,"""CD8 TEM_2"""
HIRA,"""CD8 TEM_2"""
MAPK1,"""CD8 TEM_2"""
ZBTB17,"""CD8 TEM_2"""
BCL3,"""CD8 TEM_2"""
RARA,"""CD8 TEM_2"""
SP4,"""CD8 TEM_2"""
WDR5,"""CD8 TEM_2"""
UHRF2,"""CD8 TEM_2"""
CBX8,"""CD8 TEM_2"""
ERCC6,"""CD8 TEM_2"""
APOBEC3B,"""CD8 TEM_2"""
ZNF423,"""CD8 TEM_2"""
SMARCC1,"""CD8 TEM_2"""
MAZ,"""CD8 TEM_2"""
HSF1,"""CD8 TEM_2"""
SMAD2-SMAD3,"""CD8 TEM_2"""
ZNF611,"""CD8 TEM_2"""
NR1H2,"""CD8 TEM_2"""
ZNF783,"""CD8 TEM_2"""
KLF12,"""CD8 TEM_2"""
BRD4,"""CD8 TEM_2"""
RNF2,"""CD8 TEM_2"""
TEAD4,"""CD8 TEM_2"""
ZFP57,"""CD8 TEM_2"""
ZBTB14,"""CD8 TEM_2"""
BANF1,"""CD8 TEM_2"""
SMAD4,"""CD8 TEM_2"""
ZNF441,"""CD8 TEM_2"""
PRMT5,"""CD8 TEM_2"""
EGR1,"""CD8 TEM_2"""
EPAS1,"""CD8 TEM_2"""
KDM6B,"""CD8 TEM_2"""
ZNF343,"""CD8 TEM_2"""
RPE,"""CD8 TEM_2"""
XCL1,"""CD8 TEM_2"""
NR1H3,"""CD8 TEM_2"""
ASH1L,"""CD8 TEM_2"""
RELA,"""CD8 TEM_2"""
FLI1,"""CD8 TEM_2"""
ZNF341,"""CD8 TEM_2"""
PAF1,"""CD8 TEM_2"""
SP140,"""CD8 TEM_2"""
PHF6,"""CD8 TEM_2"""
KMT2A,"""CD8 TEM_2"""
ZBTB6,"""CD8 TEM_2"""
ZBTB8A,"""CD8 TEM_2"""
CBFB,"""CD8 TEM_2"""
CHRM2,"""CD8 TEM_2"""
HIC1,"""CD8 TEM_2"""
POLR2A,"""CD8 TEM_2"""
BMI1,"""CD8 TEM_2"""
EZH1,"""CD8 TEM_2"""
MAFB,"""CD8 TEM_2"""
TCOF1,"""CD8 TEM_2"""
PR,"""CD8 TEM_2"""
